representative,member,rmsd
peptide_3_1,peptide_3_1,0.0
peptide_3_36,peptide_3_36,0.0
peptide_3_4,peptide_3_4,0.0
peptide_3_14,peptide_3_14,0.0
peptide_3_84,peptide_3_84,0.0
peptide_3_1,peptide_3_2,1.02353
peptide_3_1,peptide_3_5,1.59008
peptide_3_4,peptide_3_13,1.66006
peptide_3_4,peptide_3_16,1.72457
peptide_3_36,peptide_3_64,2.00724
peptide_3_1,peptide_3_76,2.25609
peptide_3_1,peptide_3_51,2.25842
peptide_3_4,peptide_3_33,2.4247
peptide_3_36,peptide_3_91,2.48472
peptide_3_36,peptide_3_38,2.59659
peptide_3_1,peptide_3_12,2.7529
peptide_3_1,peptide_3_43,2.97287
peptide_3_4,peptide_3_25,3.1131
peptide_3_14,peptide_3_77,3.17676
peptide_3_14,peptide_3_50,3.55871
peptide_3_1,peptide_3_37,3.94841
peptide_3_1,peptide_3_30,4.07875
peptide_3_14,peptide_3_29,5.06283
peptide_3_4,peptide_3_15,5.20232
peptide_3_4,peptide_3_11,5.29231
peptide_3_14,peptide_3_23,5.58971
peptide_3_14,peptide_3_80,5.79064
peptide_3_14,peptide_3_27,6.44213
peptide_3_14,peptide_3_88,7.02274
peptide_3_4,peptide_3_75,8.97595
peptide_3_84,peptide_3_93,9.42185
peptide_3_4,peptide_3_89,9.75739
peptide_3_1,peptide_3_66,10.7816
peptide_3_1,peptide_3_98,10.8948
peptide_3_36,peptide_3_52,11.3527
peptide_3_14,peptide_3_71,11.5976
peptide_3_1,peptide_3_44,11.7002
peptide_3_4,peptide_3_60,11.7621
peptide_3_14,peptide_3_96,11.8298
peptide_3_1,peptide_3_35,11.8616
peptide_3_1,peptide_3_65,11.876
peptide_3_1,peptide_3_95,11.919
peptide_3_4,peptide_3_19,12.0113
peptide_3_1,peptide_3_78,12.0272
peptide_3_4,peptide_3_67,12.0617
peptide_3_4,peptide_3_24,12.2047
peptide_3_4,peptide_3_79,12.2409
peptide_3_4,peptide_3_90,12.2479
peptide_3_14,peptide_3_18,12.3502
peptide_3_1,peptide_3_3,12.3624
peptide_3_1,peptide_3_6,12.4828
peptide_3_1,peptide_3_40,12.5568
peptide_3_4,peptide_3_86,12.5989
peptide_3_4,peptide_3_97,12.7636
peptide_3_1,peptide_3_56,12.8923
peptide_3_14,peptide_3_53,12.9192
peptide_3_4,peptide_3_58,12.9437
peptide_3_4,peptide_3_94,12.9623
peptide_3_14,peptide_3_73,13.0279
peptide_3_1,peptide_3_72,13.0339
peptide_3_1,peptide_3_92,13.0544
peptide_3_1,peptide_3_68,13.0635
peptide_3_14,peptide_3_49,13.0805
peptide_3_1,peptide_3_83,13.1091
peptide_3_4,peptide_3_87,13.1291
peptide_3_1,peptide_3_81,13.226
peptide_3_1,peptide_3_10,13.4522
peptide_3_1,peptide_3_69,13.5899
peptide_3_1,peptide_3_21,13.8735
peptide_3_1,peptide_3_47,14.0022
peptide_3_4,peptide_3_26,14.0807
peptide_3_1,peptide_3_7,14.0813
peptide_3_4,peptide_3_55,14.44
peptide_3_14,peptide_3_39,14.7152
peptide_3_36,peptide_3_85,15.2403
peptide_3_14,peptide_3_17,15.2729
peptide_3_14,peptide_3_20,15.2979
peptide_3_1,peptide_3_82,15.5483
peptide_3_4,peptide_3_63,15.6169
peptide_3_14,peptide_3_41,15.6935
peptide_3_4,peptide_3_62,15.7122
peptide_3_14,peptide_3_22,15.7669
peptide_3_1,peptide_3_45,15.8877
peptide_3_4,peptide_3_42,16.1191
peptide_3_14,peptide_3_54,16.213
peptide_3_1,peptide_3_32,16.357
peptide_3_1,peptide_3_46,16.9257
peptide_3_1,peptide_3_28,17.069
peptide_3_1,peptide_3_74,17.2453
peptide_3_1,peptide_3_99,17.6553
peptide_3_4,peptide_3_59,18.0005
peptide_3_4,peptide_3_61,18.2736
peptide_3_4,peptide_3_48,18.288
peptide_3_4,peptide_3_34,18.3015
peptide_3_14,peptide_3_70,18.6833
peptide_3_1,peptide_3_9,18.7957
peptide_3_1,peptide_3_8,18.9981
peptide_3_4,peptide_3_31,19.2201
peptide_3_4,peptide_3_57,19.3101
